cat,VEGDESC,VEG_ID,F_CODEDESC,F_CODE,AREA_KM2
49.000,Mixed Trees,50.000,Trees,EC030,126.077
50.000,Mixed Trees,50.000,Trees,EC030,244.795
51.000,Mixed Trees,50.000,Trees,EC030,413.327
52.000,Mixed Trees,50.000,Trees,EC030,115.950
53.000,Mixed Trees,50.000,Trees,EC030,123.061
54.000,Mixed Trees,50.000,Trees,EC030,110.979
55.000,Mixed Trees,50.000,Trees,EC030,268.523
11.000,Deciduous,24.000,Trees,EC030,123.645
12.000,Deciduous,24.000,Trees,EC030,123.845
13.000,Deciduous,24.000,Trees,EC030,163.751
14.000,Deciduous,24.000,Trees,EC030,243.504
15.000,Deciduous,24.000,Trees,EC030,990.685
22.000,Evergreen,25.000,Trees,EC030,156.391
38.000,Evergreen,25.000,Trees,EC030,203.078
39.000,Evergreen,25.000,Trees,EC030,152.621
40.000,Evergreen,25.000,Trees,EC030,131.548
41.000,Deciduous,24.000,Trees,EC030,201.364
82.000,Deciduous,24.000,Trees,EC030,463.074
56.000,Mixed Trees,50.000,Trees,EC030,
108.000,Deciduous,24.000,Trees,EC030,1276.201
126.000,Deciduous,24.000,Trees,EC030,523.659
57.000,Mixed Trees,50.000,Trees,EC030,112.273
58.000,Mixed Trees,50.000,Trees,EC030,143.342
59.000,Mixed Trees,50.000,Trees,EC030,118.349
180.000,Mixed Trees,50.000,Trees,EC030,195.413
188.000,Deciduous,24.000,Trees,EC030,115.933
195.000,Evergreen,25.000,Trees,EC030,317.234
200.000,Evergreen,25.000,Trees,EC030,348.798
203.000,Evergreen,25.000,Trees,EC030,491.830
210.000,Evergreen,25.000,Trees,EC030,260.935
212.000,Mixed Trees,50.000,Trees,EC030,532.941
213.000,Mixed Trees,50.000,Trees,EC030,120.481
222.000,Deciduous,24.000,Trees,EC030,114.703
224.000,Deciduous,24.000,Trees,EC030,342.955
225.000,Mixed Trees,50.000,Trees,EC030,126.119
226.000,Mixed Trees,50.000,Trees,EC030,440.862
232.000,Evergreen,25.000,Trees,EC030,166.001
60.000,Deciduous,24.000,Trees,EC030,106.351
61.000,Evergreen,25.000,Trees,EC030,146.142
62.000,Mixed Trees,50.000,Trees,EC030,206.178
63.000,Mixed Trees,50.000,Trees,EC030,417.982
64.000,Mixed Trees,50.000,Trees,EC030,149.045
65.000,Evergreen,25.000,Trees,EC030,108.082
66.000,Mixed Trees,50.000,Trees,EC030,119.838
364.000,Deciduous,24.000,Trees,EC030,191.125
368.000,Mixed Trees,50.000,Trees,EC030,111.695
370.000,Mixed Trees,50.000,Trees,EC030,365.804
380.000,Mixed Trees,50.000,Trees,EC030,290.418
381.000,Mixed Trees,50.000,Trees,EC030,395.590
384.000,Mixed Trees,50.000,Trees,EC030,104.546
385.000,Mixed Trees,50.000,Trees,EC030,759.654
386.000,Evergreen,25.000,Trees,EC030,339.501
387.000,Mixed Trees,50.000,Trees,EC030,130.977
388.000,Mixed Trees,50.000,Trees,EC030,224.981
391.000,Mixed Trees,50.000,Trees,EC030,382.901
392.000,Mixed Trees,50.000,Trees,EC030,918.316
393.000,Mixed Trees,50.000,Trees,EC030,129.648
396.000,Mixed Trees,50.000,Trees,EC030,891.501
397.000,Mixed Trees,50.000,Trees,EC030,532.342
399.000,Evergreen,25.000,Trees,EC030,434.737
402.000,Evergreen,25.000,Trees,EC030,411.779
