cat,VEGDESC,VEG_ID,F_CODEDESC,F_CODE,AREA_KM2,CLUSTER_ID
52.000,Mixed Trees,50.000,Trees,EC030,115.950,"4"
53.000,Mixed Trees,50.000,Trees,EC030,123.061,"0"
54.000,Mixed Trees,50.000,Trees,EC030,110.979,"0"
55.000,Mixed Trees,50.000,Trees,EC030,268.523,"0"
11.000,Deciduous,24.000,Trees,EC030,123.645,"3"
12.000,Deciduous,24.000,Trees,EC030,123.845,"3"
13.000,Deciduous,24.000,Trees,EC030,163.751,"3"
14.000,Deciduous,24.000,Trees,EC030,243.504,"3"
15.000,Deciduous,24.000,Trees,EC030,990.685,"0"
22.000,Evergreen,25.000,Trees,EC030,156.391,"3"
38.000,Evergreen,25.000,Trees,EC030,203.078,"2"
39.000,Evergreen,25.000,Trees,EC030,152.621,"2"
40.000,Evergreen,25.000,Trees,EC030,131.548,"2"
41.000,Deciduous,24.000,Trees,EC030,201.364,"4"
82.000,Deciduous,24.000,Trees,EC030,463.074,"3"
56.000,Mixed Trees,50.000,Trees,EC030,,"2"
108.000,Deciduous,24.000,Trees,EC030,1276.201,"3"
126.000,Deciduous,24.000,Trees,EC030,523.659,"3"
57.000,Mixed Trees,50.000,Trees,EC030,112.273,"2"
58.000,Mixed Trees,50.000,Trees,EC030,143.342,"3"
59.000,Mixed Trees,50.000,Trees,EC030,118.349,"3"
180.000,Mixed Trees,50.000,Trees,EC030,195.413,"0"
188.000,Deciduous,24.000,Trees,EC030,115.933,"0"
195.000,Evergreen,25.000,Trees,EC030,317.234,"0"
200.000,Evergreen,25.000,Trees,EC030,348.798,"0"
203.000,Evergreen,25.000,Trees,EC030,491.830,"0"
210.000,Evergreen,25.000,Trees,EC030,260.935,"0"
212.000,Mixed Trees,50.000,Trees,EC030,532.941,"0"
213.000,Mixed Trees,50.000,Trees,EC030,120.481,"0"
222.000,Deciduous,24.000,Trees,EC030,114.703,"4"
224.000,Deciduous,24.000,Trees,EC030,342.955,"4"
225.000,Mixed Trees,50.000,Trees,EC030,126.119,"0"
226.000,Mixed Trees,50.000,Trees,EC030,440.862,"0"
232.000,Evergreen,25.000,Trees,EC030,166.001,"0"
60.000,Deciduous,24.000,Trees,EC030,106.351,"2"
61.000,Evergreen,25.000,Trees,EC030,146.142,"2"
62.000,Mixed Trees,50.000,Trees,EC030,206.178,"2"
63.000,Mixed Trees,50.000,Trees,EC030,417.982,"2"
64.000,Mixed Trees,50.000,Trees,EC030,149.045,"2"
65.000,Evergreen,25.000,Trees,EC030,108.082,"2"
66.000,Mixed Trees,50.000,Trees,EC030,119.838,"2"
364.000,Deciduous,24.000,Trees,EC030,191.125,"4"
368.000,Mixed Trees,50.000,Trees,EC030,111.695,"4"
370.000,Mixed Trees,50.000,Trees,EC030,365.804,"4"
380.000,Mixed Trees,50.000,Trees,EC030,290.418,"0"
381.000,Mixed Trees,50.000,Trees,EC030,395.590,"0"
384.000,Mixed Trees,50.000,Trees,EC030,104.546,"0"
385.000,Mixed Trees,50.000,Trees,EC030,759.654,"0"
386.000,Evergreen,25.000,Trees,EC030,339.501,"0"
387.000,Mixed Trees,50.000,Trees,EC030,130.977,"0"
388.000,Mixed Trees,50.000,Trees,EC030,224.981,"4"
391.000,Mixed Trees,50.000,Trees,EC030,382.901,"1"
392.000,Mixed Trees,50.000,Trees,EC030,918.316,"1"
393.000,Mixed Trees,50.000,Trees,EC030,129.648,"1"
396.000,Mixed Trees,50.000,Trees,EC030,891.501,"1"
397.000,Mixed Trees,50.000,Trees,EC030,532.342,"1"
399.000,Evergreen,25.000,Trees,EC030,434.737,"1"
402.000,Evergreen,25.000,Trees,EC030,411.779,"1"
403.000,Evergreen,25.000,Trees,EC030,166.023,"1"
404.000,Evergreen,25.000,Trees,EC030,131.251,"1"
405.000,Evergreen,25.000,Trees,EC030,475.044,"1"
406.000,Evergreen,25.000,Trees,EC030,322.639,"1"
407.000,Evergreen,25.000,Trees,EC030,687.631,"1"
408.000,Evergreen,25.000,Trees,EC030,1269.449,"1"
416.000,Deciduous,24.000,Trees,EC030,444.259,"3"
417.000,Deciduous,24.000,Trees,EC030,1261.033,"3"
25.000,Deciduous,24.000,Trees,EC030,107.237,"3"
418.000,Deciduous,24.000,Trees,EC030,107.978,"3"
419.000,Mixed Trees,50.000,Trees,EC030,104.835,"4"
420.000,Mixed Trees,50.000,Trees,EC030,148.414,"4"
421.000,Mixed Trees,50.000,Trees,EC030,241.044,"4"
422.000,Mixed Trees,50.000,Trees,EC030,130.818,"4"
423.000,Mixed Trees,50.000,Trees,EC030,200.579,"4"
424.000,Mixed Trees,50.000,Trees,EC030,189.080,"0"
425.000,Mixed Trees,50.000,Trees,EC030,102.560,"4"
426.000,Mixed Trees,50.000,Trees,EC030,207.642,"1"
427.000,Evergreen,25.000,Trees,EC030,490.813,"1"
428.000,Evergreen,25.000,Trees,EC030,461.984,"1"
430.000,Evergreen,25.000,Trees,EC030,402.368,"1"
431.000,Evergreen,25.000,Trees,EC030,150.782,"1"
432.000,Evergreen,25.000,Trees,EC030,312.521,"1"
433.000,Evergreen,25.000,Trees,EC030,140.591,"1"
434.000,Evergreen,25.000,Trees,EC030,234.163,"1"
435.000,Evergreen,25.000,Trees,EC030,148.340,"1"
436.000,Evergreen,25.000,Trees,EC030,584.456,"1"
437.000,Evergreen,25.000,Trees,EC030,131.588,"1"
438.000,Mixed Trees,50.000,Trees,EC030,117.305,"4"
440.000,Mixed Trees,50.000,Trees,EC030,211.297,"1"
443.000,Evergreen,25.000,Trees,EC030,2621.486,"1"
444.000,Evergreen,25.000,Trees,EC030,1727.761,"1"
83.000,Mixed Trees,50.000,Trees,EC030,723.204,"3"
84.000,Mixed Trees,50.000,Trees,EC030,401.111,"3"
85.000,Mixed Trees,50.000,Trees,EC030,671.051,"3"
86.000,Mixed Trees,50.000,Trees,EC030,222.837,"3"
87.000,Mixed Trees,50.000,Trees,EC030,2612.703,"3"
88.000,Deciduous,24.000,Trees,EC030,167.774,"2"
89.000,Mixed Trees,50.000,Trees,EC030,521.010,"2"
90.000,Deciduous,24.000,Trees,EC030,161.096,"2"
91.000,Evergreen,25.000,Trees,EC030,116.531,"2"
92.000,Mixed Trees,50.000,Trees,EC030,163.902,"2"
93.000,Evergreen,25.000,Trees,EC030,5318.002,"3"
94.000,Deciduous,24.000,Trees,EC030,1783.428,"2"
95.000,Mixed Trees,50.000,Trees,EC030,153.429,"2"
